timestamp,pair,count,max_limit,status
2025-11-14 12:42:02,EURUSD,0,1,AVAILABLE
2025-11-14 12:42:02,EURGBP,0,1,AVAILABLE
2025-11-14 12:42:02,GBPUSD,0,1,AVAILABLE
2025-11-14 12:42:02,USDJPY,0,1,AVAILABLE
2025-11-14 12:42:02,EURJPY,0,1,AVAILABLE
2025-11-14 12:42:02,GBPJPY,0,1,AVAILABLE
2025-11-14 12:42:02,AUDJPY,0,1,AVAILABLE
2025-11-14 12:42:02,CADJPY,0,1,AVAILABLE
2025-11-14 12:42:02,EURCHF,0,1,AVAILABLE
2025-11-14 12:42:02,EURNZD,0,1,AVAILABLE
2025-11-14 12:42:02,NZDCHF,0,1,AVAILABLE
2025-11-14 12:42:02,GBPAUD,0,1,AVAILABLE
2025-11-14 12:42:02,AUDCAD,0,1,AVAILABLE
2025-11-14 12:42:02,USDCHF,0,1,AVAILABLE
2025-11-14 12:42:02,GBPCHF,0,1,AVAILABLE
2025-11-14 12:42:02,XAUUSD,0,1,AVAILABLE
2025-11-14 12:42:02,AUDUSD,0,1,AVAILABLE
2025-11-14 12:42:02,AUDCHF,0,1,AVAILABLE
2025-11-14 12:42:02,AUDNZD,0,1,AVAILABLE
2025-11-14 12:42:02,CADCHF,0,1,AVAILABLE
2025-11-14 12:42:02,EURAUD,0,1,AVAILABLE
2025-11-14 12:42:02,EURCAD,0,1,AVAILABLE
2025-11-14 12:42:02,GBPCAD,0,1,AVAILABLE
2025-11-14 12:42:02,GBPNZD,0,1,AVAILABLE
2025-11-14 12:42:02,NZDCAD,0,1,AVAILABLE
2025-11-14 12:42:02,NZDJPY,0,1,AVAILABLE
2025-11-14 12:42:02,NZDUSD,0,1,AVAILABLE
2025-11-14 12:42:02,USDCAD,0,1,AVAILABLE
2025-11-14 12:42:02,CHFJPY,0,1,AVAILABLE
2025-11-14 12:42:02,BITCOIN,0,1,AVAILABLE
